input,output,hint,weight,color
a,a,,700,
a,a-,,713,
a,·a,,744,
a,亜,1+23+5,999,
a,亞,1+23+5,1008,
a,唖,,884,
a,啊,,883,
a,啞,,885,
a,阿,,873,
a,鴉,,68,
a bí,A-bí,,700,
a bí,阿美,,809,
a bí cho̍k,A-bí cho̍k,,700,
a bí cho̍k,阿美族,,809,
a bó,a-bó,,732,
a bó,阿母,,841,
a bú,a-bú,,736,
a bú,阿母,,845,
a chiu,A-chiu,,713,
a chiu,亜州,,821,
a chiu,亜洲,,819,
a chiu,亞州,,822,
a chiu,亞洲,,820,
a ché,a-ché,,713,
a ché,阿姉,,821,
a ché,阿姐,,822,
a chí,a-chí,,727,
a chí,阿姉,,835,
a chí,阿姐,,836,
a chó͘,a-chó͘,,713,
a chó͘,阿祖,,822,
a hiaⁿ,a-hiaⁿ,,727,
a hiaⁿ,阿兄,,836,
a iân,a-iân,,700,
a iân,亜鉛,,808,
a iân,亞鉛,,809,
a jia̍t tài,a-jia̍t-tài,,700,
a jia̍t tài,亜熱帶,,808,
a jia̍t tài,亞熱帶,,809,
a kong,a-kong,,733,
a kong,阿公,,842,
a ko͘,a-ko͘,,713,
a ko͘,阿姑,,822,
a kun,a-kun,,713,
a kun,亜軍,,821,
a kun,亞軍,,822,
a kâu,A-kâu,,700,
a kâu,阿猴,,809,
a la,·a ·la,,713,
a la,唖啦,,621,
a la,啊啦,,620,
a la,啞啦,,622,
a lian,A-lian,,713,
a lian,阿嗹,,822,
a lian,阿蓮,,821,
a lí put ta̍t,a-lí-put-ta̍t,,700,
a lí put ta̍t,阿里不達,,809,
a mi,A-mi,,700,
a mi,阿彌,,601,
a má,a-má,,733,
a má,阿媽,,842,
a mí tô hu̍t,A-mí-tô-hu̍t,,713,
a mí tô hu̍t,阿彌陀佛,,822,
a mí tô͘ hu̍t,A-mí-tô͘-hu̍t,,713,
a mí tô͘ hu̍t,阿彌陀佛,,822,
a mî,阿彌,,601,
a niâ,a-niâ,,713,
a niâ,阿娘,,822,
a pa,a-pa,,733,
a pa,阿巴,,834,
a pa,阿爸,,835,
a pah,a-pah,,729,
a pah,阿巴,,830,
a pah,阿爸,,831,
a peh,a-peh,,727,
a peh,阿伯,,836,
a phiàn,a-phiàn,,700,
a phiàn,阿片,,809,
a pâ,a-pâ,,713,
a pâ,阿巴,,814,
a pâ,阿爸,,815,
a pô,a-pô,,700,
a pô,阿婆,,809,
a pō͘,A-pō͘,,700,
a pō͘,阿部,,801,
a sià,a-sià,,700,
a sià,阿舍,,809,
a sun ê,a-sun ·ê,,700,
a sun ê,阿孫个,,809,
a sun ê,阿孫兮,,808,
a só,a-só,,727,
a só,阿嫂,,836,
a tà bū,A-tà-bū,,700,
a tà bū,阿罩務,,809,
a tà bū,阿罩霧,,809,
a ḿ,a-ḿ,,713,
a ḿ,阿姆,,838,
ah,ah,,740,
ah,iá,,728,
ah,á,,728,
ah,亜,,673,
ah,亞,,674,
ah,唖,,880,
ah,啊,,879,
ah,啞,,881,
ah,夭,"""夭汝礼？""",678,
ah,押,,835,
ah,野,,673,
ah,鴨,,835,
ah bô,iá bô,,700,
ah bô,á-bô,,700,
