input,output,annotation,weight,category
ah,iá,,999,
ah,á,,999,
ah,亜,,999,
ah,亞,,999,
ah,夭,,999,
ah,野,,999,
ah nā,iá nā,,999,
ah nā,á nā,,999,
ah nā,夭若,,999,
ah nā,夭那,,999,
ah sī,á sī,,999,
ah sī,á-sī,,999,
ah sī,亜是,,999,
ah sī,亞是,,999,
a̍h,iā,,999,
a̍h,也,,999,
a̍h sái,ā-sái,,999,
a̍h sái,也使,,999,
a̍h sī,iā sī,,999,
a̍h sī,也是,,999,
a̍h tio̍h,ā-tio̍h,,999,
a̍h tio̍h,也着,,999,
a̍h ū,ā-ū,,999,
a̍h ū,也有,,999,
beh,beh,,999,
beh,卜,,999,
be̍h,be̍h,,999,
be̍h,袜,,999,
be̍h,襪,,999,
be̍h,麥,,999,
be̍h liâu,Be̍h-liâu,,999,
be̍h liâu,麥寮,,999,
bi long,Bi-long,,999,
bi long,彌濃,,999,
bi long,瀰濃,,999,
bi lóng,彌濃,,999,
bi lóng,瀰濃,,999,
bián,bián,,999,
bián,免,,999,
boeh,boeh,,999,
boeh,卜,,999,
boe̍h,boe̍h,,999,
boe̍h,袜,,999,
boe̍h,襪,,999,
bo̍k,Bo̍k,,999,
bo̍k,穆,,999,
bé,bé,,999,
bé,尾,,999,
bé,碼,,999,
bé,買,,999,
bé,馬,,999,
bé ló,bé-ló,,999,
bé ló,瑪珯,,999,
bé ló,瑪瑙,,999,
bé thâu,bé-thâu,,999,
bé thâu,碼頭,,999,
bé thâu,馬頭,,999,
bê,bê,,999,
bê,糜,,999,
bê,迷,,999,
bî long,Bî-long,,999,
bî long,彌濃,,999,
bî long,瀰濃,,999,
bîn,岷,,999,
bóe,bóe,,999,
bóe,尾,,999,
bóe,買,,999,
bô,bô,,999,
bô,無,,999,
bē,bē,,999,
bē,未,,999,
bē,袂,,999,
bē,賣,,999,
bōe,bōe,,999,
bōe,未,,999,
bōe,袂,,999,
bōe,賣,,999,
cha bó͘ gín ná,cha-bó͘ gín-ná,,999,
cha bó͘ gín ná,cha-bó͘ gín-á,,999,
cha bó͘ gín ná,查某囝仔,,999,
cha bó͘ gín á,cha-bó͘ gín-á,,999,
cha bó͘ gín á,查某囝仔,,999,
cha bó͘ kiáⁿ,cha-bó͘ kiáⁿ,,999,
cha bó͘ kiáⁿ,cha-bó͘-kiáⁿ,,999,
cha bó͘ kiáⁿ,查某子,,999,
chai,chai,,999,
chai,知,,999,
chai iáⁿ,chai-iáⁿ,,999,
chai iáⁿ,知影,,999,
cheh khì,cheh-khì,,999,
cheh khì,節氣,,999,
cheh khùi,cheh-khùi,,999,
cheh khùi,節氣,,999,
