input,freq,chhan_id
ah,2586,31
but but,10,6153
chhia chhia,10,1216
chhih chhih,10,1417
chhèng chhèng,1,9497
chi,1,1180
chiam,22,1821
chiat,1,10012
chiaⁿ,2,1825
chiu,12,2892
chiuh chiuh,1,8603
chiⁿ,2,3638
chôaⁿ,1,8981
giâ giâ,10,9339
gìm gìm,1,8993
ham,7,267
hia̍h,1,747
ho ho,1,5592
hut hut,1,3611
hòa,1,6100
hē,13,1991
iô,11,3112
iú,1,6213
iāⁿ iāⁿ,1,1680
ka,17,296
khah,3393,76
khak,2,139
khiàu khiàu,2,1476
khok khok,1,1477
khong khong,11,8402
kho̍k kho̍k,2,1477
ki ki,11,3137
kiak kiak,1,3624
kia̍k kia̍k,1,3624
kiān,1,2970
koaiⁿ,110,4740
koáiⁿ,10,5503
koán,152,4435
ko͘,12,1011
kuiⁿ,55,4740
kà kà,1,2161
kê kê,1,9023
kì kì,1,1475
kòng kòng,2,3224
kôe kôe,1,9023
kô͘ kô͘,10,1483
kúiⁿ,5,5503
kīm,1,4099
kū,181,1382
lang lang,1,8223
leh leh,10,8831
le̍h le̍h,1,8831
liu liu,10,6275
liàn liàn,1,2431
liáu liáu,11,490
liâu,11,1757
liù liù,11,6280
lok lok,1,2461
long long,1,2407
lu lu,1,8589
lêng,21,1264
lìn lìn,1,2431
lòng lòng,1,2407
lōa,645,575
mà mà,1,2478
pa,2,3904
phiáⁿ,2,9504
phiâⁿ,6,854
pho pho,1,4988
phut phut,1,2254
phà phà,1,5637
phàⁿ phàⁿ,1,5637
phóng phóng,10,2571
piàng piàng,10,1484
pâi,210,3547
pé,3,955
sai,112,450
sai sai,1,1495
sak,11,953
siak siak,10,3440
sian,33,1718
sia̍k sia̍k,6,3440
sih sih,10,1496
sio̍h,1,9343
siâu,110,1191
siāng,555,130
siōng,1107,130
sàng,415,452
sì lâng,2,647
sìm sìm,1,9334
sîn,12,2680
sòaⁿ,112,977
sú,2,3203
tang tang,11,3157
te,1,2516
teh teh,10,8823
tek,2,1482
teng,3,1163
te̍h te̍h,1,8823
te̍k,1,1482
thi thi,1,4225
thàng thàng,1,2804
thàu thàu,100,5662
tin tang,2,9092
tin tong,2,17219
tiong,101,545
tiuh tiuh,10,8911
tiâu tiâu,10,13544
tiāu,21,2219
tong tong,2,18495
tuh tuh,1,2911
a,19,31
á,468,1
á kiáⁿ,10,4558
î,11,3010
a kiat á,2,3683
a píⁿ á,17,3682
a bí,1,589
a bí cho̍k,1,4577
a chiu,10,590
a kong tiàm,1,9112
a kâu,1,1502
a la pek,1,19231
a lap pek,1,9234
a lat pek,10,9234
a la̍h pek,10,9235
a lian,10,1504
a lí káng,1,3791
a lí san,10,4376
a mi,1,1499
a mí tô hu̍t,1,4186
a mí tô͘ hu̍t,5,4186
a mî,1,1499
a píⁿ ah,6,3682
a píⁿ a,1,3682
a pō͘,1,5111
a tok á,1,4092
a tà bū,1,1506
ai,12,4078
ai tiân,1,9383
ai tiân hn̂g,1,17383
an khe,1,11720
an khoe,1,11720
an lâm,2,3776
an pêng,10,1480
an pōe,1,9911
an sūn,1,3775
an tîn,1,5149
an tēng,20,3831
ang,101,607
ang kong,11,616
au,11,604
au bí,1,6943
au chiu,10,6942
au iâng,1,3020
au iông,1,3020
au âng,1,1518
bang kok,1,6947
ba̍k sa,11,6149
be̍h liâu,10,5341
be̍k se ko,1,6844
bi long,5,3329
bi lóng,1,3329
bián tiān,10,5964
biâu le̍k,10,4282
biān tiān,1,5964
boán chiu,2,3778
boán chiu kok,1,24876
bo̍k chheⁿ,1,8103
bo̍k chhoan,1,5104
bo̍k hā,1,5175
bo̍k san ò á,1,8813
bu lo̍k,1,2460
bu lun,1,3696
báng kah,10,1562
báng sut,1,3235
báu,2,3848
báu ò,1,3190
bân bân,10,3034
bân kok,1,10547
bân lâm,1,4064
bân lâm gí,1,14064
bân lâm gú,1,14064
bé oaⁿ soaⁿ,10,14935
bé oaⁿ soaⁿ sū,1,14935
bêng kan,1,5047
bêng kó͘ ok,1,2953
bêng tī,1,19867
bí chiu,1,4003
bí kok,100,918
bí lē tó,10,4056
bí lūn,1,4332
bî chiu,1,15385
bî long,10,3329
bî lô,1,13804
bî lô káng,1,3805
bîn chiòng tóng,10,5523
bîn chìn tóng,100,5522
bîn chú tóng,10,5526
bîn hiông,10,4373
bîn kok,1,11114
bîn lân láu,1,5036
bîn sī,10,5686
bóng io,1,3560
bôe san,10,3950
bông chióng,1,6042
bông chéng,1,6042
bông kó͘,1,5042
bú,103,181
bú chhiang,1,23785
bú chhiong,1,23785
bú hàn,1,13785
bú lok,1,2460
bú lo̍k,1,2460
bú lūn,1,3696
bú tiân,1,3874
bû,1,3009
bûn,11,191
bûn hêng sèng tè,1,12721
