input	output	category
!	!	0
!	！	1
""""	""""	0
""""	＂	1
""""	“”	0
""""	‘’	0
#	#	0
#	＃	1
$	$	0
$	¢	0
$	£	0
$	¥	0
$	€	0
$	₩	0
$	₿	0
$	＄	1
$	￠	1
$	￡	1
$	￥	1
$	￦	1
%	%	0
%	％	1
&	&	0
&	＆	1
'	'	0
'	＇	1
'	’	0
'	‘’	0
(	(	0
(	（	1
(	｟	1
)	)	0
)	）	1
)	｠	1
*	*	0
*	＊	1
+	+	0
+	＋	1
,	,	0
,	、	1
,	・	1
-	-	0
-	－	1
-	–	0
-	—	0
.	.	0
.	。	1
.	…	0
.	。。。	1
/	/	0
/	／	1
:	:	0
:	：	1
;	;	0
;	；	1
<	<	0
<	＜	1
<	〈	1
<	《	1
<	←	0
<	«	0
<	‹	0
=	=	0
=	＝	1
>	>	0
>	＞	1
>	〉	1
>	》	1
>	»	0
>	›	0
>	→	0
?	?	0
?	？	1
@	@	0
@	＠	1
[	[	0
[	「	1
[	『	1
[	【	1
[	［	1
[	〔	1
[	〖	1
[	〚	1
\	\	0
\	＼	1
]	]	0
]	」	1
]	』	1
]	】	1
]	］	1
]	〕	1
]	〗	1
]	〛	1
^	^	0
^	＾	1
^	↑	0
^	↓	0
_	_	0
_	＿	1
`	`	0
`	｀	1
{	{	0
{	｛	1
|	|	0
|	｜	1
}	}	0
}	｝	1
~	~	0
~	～	1
~	〜	1
~	々	1
